system,parameter,spec_value,relative_error,value,noise,mmd_p,mmd_detect,ks_p,ks_detect,discriminator_auc,discriminator_p,discriminator_detect,screen_detect,screen_localised,screen_exact,target_generator,target_ratio,target_p
reacher,l2,0.11,0.0001,0.110011,0.0,0.9677032296770323,False,1.0,False,0.5055902415893229,0.3406873047351837,False,True,fk-x|fk-y,False,fk-x,348462542275.3568,0.0003885003885003885
reacher,l2,0.11,0.0003,0.11003299999999999,0.0,0.9678032196780322,False,1.0,False,0.5055927113227399,0.3406207859516144,False,True,fk-x|fk-y,False,fk-x,1045371682697.035,0.0003885003885003885
reacher,l2,0.11,0.001,0.11010999999999999,0.0,0.9678032196780322,False,1.0,False,0.5055902415893229,0.3406873047351837,False,True,fk-x|fk-y,False,fk-x,3484386239405.527,0.0003885003885003885
reacher,l2,0.11,0.003,0.11032999999999998,0.0,0.9676032396760323,False,1.0,False,0.505580362655655,0.34095343947410583,False,True,fk-x|fk-y,False,fk-x,10451562639162.906,0.0003885003885003885
reacher,l2,0.11,0.01,0.1111,0.0,0.9673032696730327,False,1.0,False,0.5055531955880682,0.3416857123374939,False,True,fk-x|fk-y,False,fk-x,34819883139231.51,0.0003885003885003885
reacher,l2,0.11,0.03,0.1133,0.0,0.9647035296470353,False,1.0,False,0.5052580624447397,0.34967881441116333,False,True,fk-x|fk-y,False,fk-x,104298736913229.9,0.0003885003885003885
reacher,l2,0.11,0.1,0.12100000000000001,0.0,0.9444055594440556,False,1.0,False,0.5046875540254185,0.36531755328178406,False,True,fk-x|fk-y,False,fk-x,345746641178750.5,0.0003885003885003885
reacher,l2,0.11,0.3,0.14300000000000002,0.0,0.6306369363063694,False,1.0,False,0.5025672878869455,0.4252283275127411,False,True,fk-x|fk-y,False,fk-x,1019293121614432.8,0.0003885003885003885
acrobot,m2,1.0,0.0001,1.0001,0.001,0.9999000099990001,False,1.0,False,0.506418837150718,0.3186586797237396,False,False,,False,energy,0.9601622384047511,1.0
acrobot,m2,1.0,0.0003,1.0003,0.001,0.9999000099990001,False,1.0,False,0.50640895821705,0.31891775131225586,False,False,,False,energy,0.9600097943665395,1.0
acrobot,m2,1.0,0.001,1.001,0.001,0.9999000099990001,False,1.0,False,0.5063854957495888,0.31953346729278564,False,False,,False,energy,0.9595986403608339,1.0
acrobot,m2,1.0,0.003,1.003,0.001,0.9999000099990001,False,1.0,False,0.5062052052101497,0.32428109645843506,False,False,,False,energy,0.9594748789990997,1.0
acrobot,m2,1.0,0.01,1.01,0.001,0.9997000299970003,False,1.0,False,0.5057618880618026,0.33607596158981323,False,False,,False,energy,1.033131916383971,0.881118881118881
acrobot,m2,1.0,0.03,1.03,0.001,0.9996000399960004,False,1.0,False,0.5046961980923779,0.3650788366794586,False,False,,False,energy,1.1872656596121178,0.04125874125874126
acrobot,m2,1.0,0.1,1.1,0.001,0.9445055494450555,False,0.5156104738617657,False,0.5012916705770779,0.46222302317619324,False,True,energy,True,energy,2.18824255878488,0.0006993006993006993
acrobot,m2,1.0,0.3,1.3,0.001,0.014298570142985701,False,0.00966441769743528,True,0.9660732720510148,0.0,True,True,energy,True,energy,5.6881505893070115,0.0002331002331002331
acrobot,g,9.8,0.0001,9.800980000000001,0.001,0.9999000099990001,False,1.0,False,0.5064052536169246,0.31901493668556213,False,False,,False,energy,0.9599311538348864,1.0
