lam,hidden,n_traj,seed,val_mse,rollout_rmse_final,rollout_rmse_h25,divergence_horizon,divergence_horizon_0.05,divergence_horizon_0.1,divergence_horizon_0.25,divergence_horizon_0.5,divergence_horizon_1,resid_unit-norm_th1,resid_unit-norm_th2,resid_energy,algebraic_score,rho_val_mse,rho_algebraic
0.1,128,60,1,1.3444509932014626e-05,1.3974821301280225,0.07096298228677554,55.416666666666664,25.166666666666668,35.833333333333336,55.416666666666664,72.25,88.91666666666667,0.04258806039527863,0.024940527218654283,0.011739600877311475,0.0792681884912444,,
0.1,128,60,2,1.2816389244107995e-05,0.7314632224317678,0.09061711157242376,64.91666666666667,34.333333333333336,49.416666666666664,64.91666666666667,74.91666666666667,86.0,0.03911636182933595,0.028130339608560102,0.009068325592157825,0.07631502703005388,,
1.0,32,10,0,0.001291864668019116,1.127940128105526,0.6075521882555247,14.333333333333334,3.1666666666666665,5.833333333333333,14.333333333333334,30.416666666666668,53.666666666666664,0.27068722315684196,0.22839171123064425,0.044448852990463715,0.5435277873779499,,
1.0,32,10,1,0.0026280947495251894,2.9566984932098546,1.2354030859005412,12.083333333333334,2.9166666666666665,5.833333333333333,12.083333333333334,23.666666666666668,36.333333333333336,0.2708587126408239,0.5607180916860958,0.0774084663956142,0.9089852707225339,,
1.0,32,10,2,0.0021823393180966377,1.4748248631926686,0.7458639026727636,13.25,2.75,5.0,13.25,23.083333333333332,46.166666666666664,0.33971936095528416,0.20943314231216992,0.03471422270770883,0.5838667259751629,,
1.0,32,60,0,6.507840589620173e-05,0.7390724185340652,0.10657839644778372,53.833333333333336,13.333333333333334,23.083333333333332,53.833333333333336,84.5,91.08333333333333,0.05496839468430179,0.03849975133409858,0.01025261255970786,0.10372075857810824,,
1.0,32,60,1,8.151171641657129e-05,1.2082563364862722,0.20829714624020856,48.416666666666664,14.666666666666666,25.166666666666668,48.416666666666664,70.0,80.5,0.06993093716380848,0.03785404335208839,0.017552381985318475,0.12533736250121535,,
1.0,32,60,2,7.3835180955939e-05,0.8776044679372715,0.11382919636954325,56.583333333333336,17.75,31.333333333333332,56.583333333333336,74.58333333333333,82.25,0.07859964260309765,0.08876853264616745,0.02467764244980303,0.19204581769906814,,
1.0,128,10,0,0.0003160542109981179,1.2277097938390615,0.16000348771628126,39.833333333333336,14.166666666666666,26.75,39.833333333333336,57.5,73.33333333333333,0.10128062840007433,0.15584905399269786,0.026943774250704867,0.28407345664347705,,
1.0,128,10,1,0.0005472078919410706,2.0923229123655744,0.3331832638482059,34.75,8.666666666666666,13.916666666666666,34.75,51.583333333333336,69.83333333333333,0.31044943903138894,0.12718716859336754,0.032999654022966556,0.47063626164772304,,
1.0,128,10,2,0.0006160067277960479,1.5956134967665132,0.27896985932663504,36.083333333333336,6.916666666666667,14.666666666666666,36.083333333333336,51.916666666666664,69.16666666666667,0.12184267695969962,0.20994185327637738,0.02637748091082244,0.35816201114689944,,
1.0,128,60,0,2.3446929844794795e-05,0.6745278644700728,0.05047076579276364,62.916666666666664,23.833333333333332,44.25,62.916666666666664,81.91666666666667,91.5,0.030766442967724114,0.042476348456930844,0.014982408148012442,0.0882251995726674,,
1.0,128,60,1,2.0639397916966118e-05,0.8423863737669347,0.05636578271385112,67.33333333333333,28.0,49.333333333333336,67.33333333333333,85.66666666666667,96.5,0.03492167137537644,0.02054409501954152,0.010816613353945079,0.06628237974886304,,
1.0,128,60,2,2.449098610668443e-05,0.817142315969981,0.09223409814183414,63.25,21.833333333333332,34.583333333333336,63.25,79.0,88.25,0.04388052320721726,0.03747020336304835,0.011523836607560881,0.0928745631778265,,
10.0,32,10,0,0.007448072545230389,1.6646595943241307,1.6676163094274168,5.666666666666667,1.5833333333333333,3.0,5.666666666666667,12.333333333333334,27.583333333333332,0.3897157234684126,0.1763059354807091,0.046135433004837495,0.6121570919539592,,
10.0,32,10,1,0.0077215321362018585,2.560497653968619,1.8332394157009695,5.916666666666667,1.5,2.5,5.916666666666667,11.0,18.75,0.34036982831670104,0.2647440019584348,0.03530804165497906,0.6404218719301149,,
10.0,32,10,2,0.0080449553206563,1.847701101643513,1.1657602305876429,6.75,1.6666666666666667,2.75,6.75,21.416666666666668,34.083333333333336,0.3212026564418801,0.18661389209387355,0.07032985157811486,0.5781464001138685,,
