condition,seed,total_steps,final_return,auc_return,n_episodes,seconds,curve_8000,curve_16000,curve_24000,curve_32000,curve_40000,curve_48000,curve_56000,curve_64000,curve_72000,curve_80000,curve_88000,curve_96000,curve_104000,curve_112000,curve_120000
random_2,0,120000,-89.03333333333333,-151.63986928104578,1030,102.53377604484558,-459.7647058823529,-461.1333333333333,-140.8,-123.3,-131.86666666666667,-109.03333333333333,-103.13333333333334,-99.33333333333333,-95.16666666666667,-91.43333333333334,-98.56666666666666,-90.4,-92.76666666666667,-91.53333333333333,-86.36666666666666
random_2,1,120000,-91.73333333333333,-196.50805555555556,928,102.84858822822571,-494.6875,-495.0,-443.8,-382.53333333333336,-136.73333333333332,-109.06666666666666,-110.36666666666666,-103.3,-94.5,-103.1,-100.0,-96.66666666666667,-88.3,-95.23333333333333,-94.33333333333333
random_2,2,120000,-91.33333333333333,-128.5880808080808,1061,103.33991837501526,-349.45454545454544,-194.9,-172.13333333333333,-141.7,-126.26666666666667,-119.76666666666667,-97.06666666666666,-90.6,-90.96666666666667,-96.93333333333334,-94.1,-88.86666666666666,-85.83333333333333,-93.13333333333334,-87.1
random_2,3,120000,-88.73333333333333,-172.60861111111112,861,102.63631677627563,-487.0625,-334.8,-224.3,-188.76666666666668,-180.8,-172.66666666666666,-125.8,-130.2,-126.76666666666667,-111.4,-113.4,-112.43333333333334,-99.93333333333334,-92.06666666666666,-88.73333333333333
random_2,4,120000,-94.2,-158.08849673202613,976,102.94670963287354,-459.29411764705884,-443.9,-209.6,-124.46666666666667,-105.8,-112.46666666666667,-109.43333333333334,-106.96666666666667,-103.5,-106.0,-99.83333333333333,-103.43333333333334,-99.46666666666667,-95.73333333333333,-91.43333333333334
randstep_2,0,120000,-88.0,-178.6377777777778,923,102.94530296325684,-497.5,-498.6666666666667,-297.53333333333336,-163.63333333333333,-153.9,-167.26666666666668,-127.06666666666666,-112.8,-114.06666666666666,-95.9,-98.13333333333334,-87.96666666666667,-91.8,-89.33333333333333,-84.0
randstep_2,1,120000,-81.73333333333333,-159.27083333333331,1011,103.23562622070312,-488.0625,-426.96666666666664,-276.8,-120.63333333333334,-129.03333333333333,-108.46666666666667,-99.6,-104.06666666666666,-106.83333333333333,-93.1,-90.43333333333334,-93.6,-91.7,-80.66666666666667,-79.1
randstep_2,2,120000,-81.3,-127.83444444444446,1055,104.17237186431885,-394.45,-188.43333333333334,-116.1,-101.9,-109.96666666666667,-111.26666666666667,-117.26666666666667,-107.73333333333333,-101.0,-105.13333333333334,-102.26666666666667,-97.73333333333333,-97.43333333333334,-85.96666666666667,-80.86666666666666
randstep_2,3,120000,-86.43333333333334,-211.82444444444442,848,103.82011675834656,-500.0,-500.0,-468.9,-374.0,-238.16666666666666,-129.43333333333334,-124.03333333333333,-124.66666666666667,-114.56666666666666,-121.46666666666667,-98.86666666666666,-97.1,-105.3,-93.13333333333334,-87.73333333333333
randstep_2,4,120000,-92.23333333333333,-120.84711111111112,1117,102.94502258300781,-316.44,-207.26666666666668,-130.0,-124.5,-105.0,-112.86666666666666,-99.03333333333333,-88.16666666666667,-83.1,-94.93333333333334,-89.73333333333333,-87.9,-91.83333333333333,-88.93333333333334,-93.0
random_3,0,120000,-82.26666666666667,-217.82861111111112,820,103.19633746147156,-469.5625,-483.76666666666665,-478.03333333333336,-363.8666666666667,-259.1,-235.06666666666666,-189.76666666666668,-111.83333333333333,-99.5,-99.83333333333333,-107.5,-101.76666666666667,-96.46666666666667,-89.73333333333333,-81.63333333333334
random_3,1,120000,-500.0,-500.0,241,103.27070355415344,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
